model,config,r2_log,rmse_log,mae_log,accuracy_log_percent,r2_mm,rmse_mm,mae_mm,accuracy_mm_percent,train_time_s
XGBoost,unscaled,0.8110606382378931,0.42762025905998763,0.25175194568997994,81.10606382378931,0.476609800173582,5.930532065433907,1.9378611720572858,47.6609800173582,12.315496683120728
RandomForest,unscaled,0.7934808959465252,0.44707168649956,0.2639177577635681,79.34808959465252,0.38510766839164057,6.428067131157077,2.062603632563577,38.510766839164056,45.57328939437866
LSTM/GRU,scaled (RobustScaler),0.44661096831708025,0.7318335643710108,0.5003442667392297,44.66109683170802,0.13154510551635634,7.639316418029492,2.6973909064313175,13.154510551635635,319.46757316589355
Prophet,unscaled (per-province time series),0.2672107865818977,0.8421444372214607,0.6398004286864516,26.721078658189768,0.06893237268160746,7.9099088430835005,3.0392214480164617,6.893237268160746,29.825051069259644
