province,province_encoded
Bac Lieu,0
Ben Tre,1
Bien Hoa,2
Buon Me Thuot,3
Ca Mau,4
Cam Pha,5
Cam Ranh,6
Can Tho,7
Chau Doc,8
Da Lat,9
Ha Noi,10
Hai Duong,11
Hai Phong,12
Ho Chi Minh City,13
Hoa Binh,14
Hong Gai,15
Hue,16
Long Xuyen,17
My Tho,18
Nam Dinh,19
Nha Trang,20
Phan Rang,21
Phan Thiet,22
Play Cu,23
Qui Nhon,24
Rach Gia,25
Soc Trang,26
Tam Ky,27
Tan An,28
Thai Nguyen,29
Thanh Hoa,30
Tra Vinh,31
Tuy Hoa,32
Uong Bi,33
Viet Tri,34
Vinh,35
Vinh Long,36
Vung Tau,37
Yen Bai,38
